"Esd";"GKY_S";"GKX_S"
1;408474;33167
2;408457;33152
3;415355;83279
4;415216;84523
5;572914;157740
6;405460;84107
7;438887;137306
8;438910;137264
9;521750;80369
10;434892;75359
11;595658;162825
12;418741;92208
13;549477;154037
14;450241;93859
15;448668;89344
16;551800;101204
17;420285;126970
18;554066;100300
19;506249;80648
20;448962;92328
21;449079;91439
22;427542;129041
23;431317;136726
24;431180;136571
25;430355;135776
26;431127;140860
27;457980;68983
28;434124;133656
29;489329;97737
30;598119;171342
31;527640;140418
32;420433;126640
33;420534;122550
34;419159;128476
35;577579;137227
36;450546;83602
37;406350;38547
38;482214;40967
39;391869;136199
40;406534;79244
41;503485;127019
42;499039;155755
43;455513;127466
44;378921;125481
45;379052;125527
46;536515;94005
47;443479;113663
48;524559;161415
49;546346;84334
50;390200;96511
51;400781;71877
52;442734;110927
53;429319;57208
55;520743;120637
56;520523;120562
57;520795;120366
58;521402;119535
59;520708;120418
60;520473;120570
61;521170;122043
62;520578;120428
63;520665;120619
65;450725;72627
66;450780;72626
67;589869;149390
68;472342;86105
69;560537;173805
70;573720;158631
71;572600;159413
72;446835;117376
73;390649;41774
74;500035;114013
75;500539;113961
76;503924;43927
77;576025;168604
78;472153;125023
79;462108;96580
80;412799;45774
81;412778;45821
82;412864;45738
83;412844;45678
84;492547;49709
85;426180;87142
86;405502;85288
87;515432;47411
88;515668;47835
89;515263;47808
90;414277;45958
91;415043;44567
92;414286;45941
93;414225;46025
94;420223;60519
95;398924;109313
96;552361;84115
97;517557;132853
98;440519;131084
99;386039;95785
100;468210;99516
101;468094;99008
103;472934;104908
104;451488;111897
105;424579;66032
106;440517;118368
107;450568;70411
108;523774;78268
109;425306;112658
110;504056;68000
111;504868;68196
112;611500;161220
113;473347;75801
114;425151;57714
115;610279;158145
116;443664;44706
117;475233;105342
118;475278;105301
119;597914;182679
120;573241;144113
121;436008;139173
122;419634;147551
123;419805;147494
124;419429;147560
125;440232;138085
126;501795;160690
127;436109;123473
128;537818;85817
129;481934;110460
130;449702;102336
131;535313;157301
132;599752;169405
133;488074;129369
135;410767;131977
136;466623;100781
137;405626;74258
138;497877;113091
139;405148;38914
140;473569;128113
141;494046;108538
142;484643;109506
143;418222;98789
144;415571;100018
145;577836;141801
146;453793;110903
147;453838;110719
148;471762;108994
149;400004;74196
150;575531;171475
151;515583;141968
152;485474;127962
153;512171;86173
154;412050;110769
155;449853;112189
156;412670;149212
157;416756;75879
158;523439;74681
159;584028;184627
160;410612;35629
161;507433;152460
162;420209;77356
163;455840;69784
164;413225;113928
165;504851;120759
166;412653;40780
167;412620;40822
168;397589;95686
169;487436;79293
170;418174;68537
171;468598;111807
172;528388;78886
173;443256;76235
174;564769;140629
175;512226;79865
